window_id,window_start,window_end,label,split
0,2006-12-16,2006-12-22,1,train
1,2006-12-17,2006-12-23,0,train
2,2006-12-18,2006-12-24,0,test
3,2006-12-19,2006-12-25,0,train
4,2006-12-20,2006-12-26,0,train
5,2006-12-21,2006-12-27,0,train
6,2006-12-22,2006-12-28,0,train
7,2006-12-23,2006-12-29,0,train
8,2006-12-24,2006-12-30,0,train
9,2006-12-25,2006-12-31,0,test
10,2006-12-26,2007-01-01,0,train
11,2006-12-27,2007-01-02,0,train
12,2006-12-28,2007-01-03,0,train
13,2006-12-29,2007-01-04,0,train
14,2006-12-30,2007-01-05,0,test
15,2006-12-31,2007-01-06,0,test
16,2007-01-01,2007-01-07,0,train
17,2007-01-02,2007-01-08,0,test
18,2007-01-03,2007-01-09,0,train
19,2007-01-04,2007-01-10,0,train
20,2007-01-05,2007-01-11,0,train
21,2007-01-06,2007-01-12,0,test
22,2007-01-07,2007-01-13,0,test
23,2007-01-08,2007-01-14,0,train
24,2007-01-09,2007-01-15,0,train
25,2007-01-10,2007-01-16,0,train
26,2007-01-11,2007-01-17,0,train
27,2007-01-12,2007-01-18,0,test
28,2007-01-13,2007-01-19,0,train
29,2007-01-14,2007-01-20,0,train
30,2007-01-15,2007-01-21,0,train
31,2007-01-16,2007-01-22,0,train
32,2007-01-17,2007-01-23,0,train
33,2007-01-18,2007-01-24,0,train
34,2007-01-19,2007-01-25,0,train
35,2007-01-20,2007-01-26,0,test
36,2007-01-21,2007-01-27,0,train
37,2007-01-22,2007-01-28,0,train
38,2007-01-23,2007-01-29,0,test
39,2007-01-24,2007-01-30,0,train
40,2007-01-25,2007-01-31,0,train
41,2007-01-26,2007-02-01,0,test
42,2007-01-27,2007-02-02,0,train
43,2007-01-28,2007-02-03,0,train
44,2007-01-29,2007-02-04,1,train
45,2007-01-30,2007-02-05,0,train
46,2007-01-31,2007-02-06,0,train
47,2007-02-01,2007-02-07,0,train
48,2007-02-02,2007-02-08,0,train
49,2007-02-03,2007-02-09,0,train
50,2007-02-04,2007-02-10,0,train
51,2007-02-05,2007-02-11,0,train
52,2007-02-06,2007-02-12,0,train
53,2007-02-07,2007-02-13,0,train
54,2007-02-08,2007-02-14,0,train
55,2007-02-09,2007-02-15,0,test
56,2007-02-10,2007-02-16,0,train
57,2007-02-11,2007-02-17,0,train
58,2007-02-12,2007-02-18,0,train
59,2007-02-13,2007-02-19,0,train
60,2007-02-14,2007-02-20,0,train
61,2007-02-15,2007-02-21,0,train
62,2007-02-16,2007-02-22,0,train
63,2007-02-17,2007-02-23,1,train
64,2007-02-18,2007-02-24,0,train
65,2007-02-19,2007-02-25,0,train
66,2007-02-20,2007-02-26,0,train
67,2007-02-21,2007-02-27,1,train
68,2007-02-22,2007-02-28,0,test
69,2007-02-23,2007-03-01,0,train
70,2007-02-24,2007-03-02,1,train
71,2007-02-25,2007-03-03,1,train
72,2007-02-26,2007-03-04,0,train
73,2007-02-27,2007-03-05,1,train
74,2007-02-28,2007-03-06,0,train
75,2007-03-01,2007-03-07,0,train
76,2007-03-02,2007-03-08,0,train
77,2007-03-03,2007-03-09,0,train
78,2007-03-04,2007-03-10,1,test
79,2007-03-05,2007-03-11,0,train
80,2007-03-06,2007-03-12,0,train
81,2007-03-07,2007-03-13,0,train
82,2007-03-08,2007-03-14,0,train
83,2007-03-09,2007-03-15,0,train
84,2007-03-10,2007-03-16,0,train
85,2007-03-11,2007-03-17,1,train
86,2007-03-12,2007-03-18,0,train
87,2007-03-13,2007-03-19,0,train
88,2007-03-14,2007-03-20,0,train
89,2007-03-15,2007-03-21,0,train
90,2007-03-16,2007-03-22,0,train
91,2007-03-17,2007-03-23,0,train
92,2007-03-18,2007-03-24,0,train
93,2007-03-19,2007-03-25,0,train
94,2007-03-20,2007-03-26,0,train
95,2007-03-21,2007-03-27,0,train
96,2007-03-22,2007-03-28,0,test
97,2007-03-23,2007-03-29,1,train
98,2007-03-24,2007-03-30,0,train
99,2007-03-25,2007-03-31,1,train
100,2007-03-26,2007-04-01,0,train
101,2007-03-27,2007-04-02,0,train
102,2007-03-28,2007-04-03,0,test
103,2007-03-29,2007-04-04,0,train
104,2007-03-30,2007-04-05,0,train
105,2007-03-31,2007-04-06,0,train
106,2007-04-01,2007-04-07,0,test
107,2007-04-02,2007-04-08,0,train
108,2007-04-03,2007-04-09,0,train
109,2007-04-04,2007-04-10,0,test
110,2007-04-05,2007-04-11,0,train
111,2007-04-06,2007-04-12,0,train
112,2007-04-07,2007-04-13,0,train
113,2007-04-08,2007-04-14,0,train
114,2007-04-09,2007-04-15,0,test
115,2007-04-10,2007-04-16,0,train
116,2007-04-11,2007-04-17,0,train
117,2007-04-12,2007-04-18,0,train
118,2007-04-13,2007-04-19,0,train
119,2007-04-14,2007-04-20,0,train
120,2007-04-15,2007-04-21,0,train
121,2007-04-16,2007-04-22,0,train
122,2007-04-17,2007-04-23,0,train
123,2007-04-18,2007-04-24,0,test
124,2007-04-19,2007-04-25,0,train
125,2007-04-20,2007-04-26,0,train
126,2007-04-21,2007-04-27,0,train
127,2007-04-22,2007-04-28,0,train
128,2007-04-23,2007-04-29,0,train
129,2007-04-24,2007-04-30,0,train
130,2007-04-25,2007-05-01,0,train
131,2007-04-26,2007-05-02,0,train
132,2007-04-27,2007-05-03,0,test
133,2007-04-28,2007-05-04,0,test
134,2007-04-29,2007-05-05,0,train
135,2007-04-30,2007-05-06,0,train
136,2007-05-01,2007-05-07,0,train
137,2007-05-02,2007-05-08,0,train
138,2007-05-03,2007-05-09,0,train
139,2007-05-04,2007-05-10,0,train
140,2007-05-05,2007-05-11,0,train
141,2007-05-06,2007-05-12,0,test
142,2007-05-07,2007-05-13,0,train
143,2007-05-08,2007-05-14,0,train
144,2007-05-09,2007-05-15,0,train
145,2007-05-10,2007-05-16,0,test
146,2007-05-11,2007-05-17,0,train
147,2007-05-12,2007-05-18,0,train
148,2007-05-13,2007-05-19,0,train
149,2007-05-14,2007-05-20,0,train
150,2007-05-15,2007-05-21,0,train
151,2007-05-16,2007-05-22,0,train
152,2007-05-17,2007-05-23,0,train
153,2007-05-18,2007-05-24,0,train
154,2007-05-19,2007-05-25,1,test
155,2007-05-20,2007-05-26,0,test
156,2007-05-21,2007-05-27,0,train
157,2007-05-22,2007-05-28,0,train
158,2007-05-23,2007-05-29,0,test
159,2007-05-24,2007-05-30,0,train
160,2007-05-25,2007-05-31,0,train
161,2007-05-26,2007-06-01,0,train
162,2007-05-27,2007-06-02,0,test
163,2007-05-28,2007-06-03,1,train
